company,date,year,month,close,Ratio,phan_ung,price_change_pct,sentiment_ratio_change_pct,price_idx,ratio_idx
BVH,2020-01-01,2020,1,50164.0,3.622926093514329,None,,,100.0,100.0
BVH,2020-02-01,2020,2,46837.0,3.622926093514329,None,,,93.36775376764214,100.0
BVH,2020-03-01,2020,3,31566.0,3.622926093514329,None,,,62.92560401881827,100.0
BVH,2020-04-01,2020,4,39414.0,3.622926093514329,None,,,78.57028945060203,100.0
BVH,2020-05-01,2020,5,42614.0,3.622926093514329,None,,,84.94936607926003,100.0
BVH,2020-06-01,2020,6,38817.0,3.622926093514329,None,,,77.38019296706801,100.0
BVH,2020-07-01,2020,7,34466.0,3.622926093514329,None,,,68.7066422135396,100.0
BVH,2020-08-01,2020,8,42571.0,3.622926093514329,None,,,84.86364723706244,100.0
BVH,2020-09-01,2020,9,41547.0,3.622926093514329,None,,,82.82234271589188,100.0
BVH,2020-10-01,2020,10,43712.0,3.622926093514329,None,,,87.13818674746831,100.0
BVH,2020-11-01,2020,11,47608.0,3.622926093514329,None,,,94.90471254285943,100.0
BVH,2020-12-01,2020,12,57129.0,3.622926093514329,None,,,113.88445897456343,100.0
BVH,2021-01-01,2021,1,48906.0,2.746739130434783,Trung thực,-13.95,-24.18,97.49222550035881,75.81548890417406
BVH,2021-02-01,2021,2,51156.0,2.746739130434783,Trung thực,-13.95,-24.18,101.97751375488397,75.81548890417406
BVH,2021-03-01,2021,3,51589.0,2.746739130434783,Trung thực,-13.95,-24.18,102.84068256119927,75.81548890417406
BVH,2021-04-01,2021,4,49598.0,2.746739130434783,Trung thực,-13.95,-24.18,98.87170082130612,75.81548890417406
BVH,2021-05-01,2021,5,46829.0,2.746739130434783,Trung thực,-13.95,-24.18,93.35180607607049,75.81548890417406
BVH,2021-06-01,2021,6,50551.0,2.746739130434783,Trung thực,-13.95,-24.18,100.77146957977831,75.81548890417406
BVH,2021-07-01,2021,7,44232.0,2.746739130434783,Trung thực,-13.95,-24.18,88.17478669962523,75.81548890417406
BVH,2021-08-01,2021,8,49339.0,2.746739130434783,Trung thực,-13.95,-24.18,98.3553943066741,75.81548890417406
BVH,2021-09-01,2021,9,50551.0,2.746739130434783,Trung thực,-13.95,-24.18,100.77146957977831,75.81548890417406
BVH,2021-10-01,2021,10,56004.0,2.746739130434783,Trung thực,-13.95,-24.18,111.64181484730085,75.81548890417406
BVH,2021-11-01,2021,11,53551.0,2.746739130434783,Trung thực,-13.95,-24.18,106.75185391914522,75.81548890417406
BVH,2021-12-01,2021,12,49161.0,2.746739130434783,Trung thực,-13.95,-24.18,98.00055816920501,75.81548890417406
BVH,2022-01-01,2022,1,47757.0,3.018757327080891,None,-11.28,9.9,95.20173829838131,83.32373471501377
BVH,2022-02-01,2022,2,51883.0,3.018757327080891,None,-11.28,9.9,103.42676022645722,83.32373471501377
BVH,2022-03-01,2022,3,53990.0,3.018757327080891,None,-11.28,9.9,107.62698349413921,83.32373471501377
BVH,2022-04-01,2022,4,54517.0,3.018757327080891,None,-11.28,9.9,108.67753767642134,83.32373471501377
BVH,2022-05-01,2022,5,46177.0,3.018757327080891,None,-11.28,9.9,92.05206921298142,83.32373471501377
BVH,2022-06-01,2022,6,46089.0,3.018757327080891,None,-11.28,9.9,91.87664460569333,83.32373471501377
BVH,2022-07-01,2022,7,50742.0,3.018757327080891,None,-11.28,9.9,101.15222071605135,83.32373471501377
BVH,2022-08-01,2022,8,51356.0,3.018757327080891,None,-11.28,9.9,102.3762060441751,83.32373471501377
BVH,2022-09-01,2022,9,46967.0,3.018757327080891,None,-11.28,9.9,93.62690375568137,83.32373471501377
BVH,2022-10-01,2022,10,46089.0,3.018757327080891,None,-11.28,9.9,91.87664460569333,83.32373471501377
